"""table_name"",""column_name"""
"customer,""isautogeneratedrepresentingentity"""
"customer,""isbudgetapproved"""
"customer,""isinactive"""
"customer,""isjob"""
"customer,""isperson"""
"customer,""language"""
"customer,""lastmodifieddate"""
"customer,""lastsaledate"""
"customer,""lastsaleperiod"""
"customer,""oncredithold"""
"customer,""overduebalancesearch"""
"customer,""phone"""
"customer,""pricelevel"""
"customer,""printtransactions"""
"customer,""probability"""
"customer,""receivablesaccount"""
"customer,""salesrep"""
"customer,""searchstage"""
"customer,""shipcomplete"""
"customer,""shippingcarrier"""
"customer,""terms"""
"customer,""toplevelparent"""
"customer,""unbilledorderssearch"""
"customer,""unsubscribe"""
"customer,""weblead"""
"customer,""custentity_ar_cond_com_prod"""
"customer,""custentity_bit_lt_configuration_status"""
"customer,""custentity_bit_lt_registration_date"""
"customer,""firstorderdate"""
"customer,""lastorderdate"""
"customer,""custentity_ar_fecha_renovacion"""
"customer,""custentity_ar_un_med_venta"""
"customer,""custentity_bit_correo_electronico_contac"""
"customer,""custentity_sv_resultadoencuestosatisfacc"""
"customer,""custentityar_encuesta_satisfaccion_anter"""
"customer,""custentity_ar_tipo_cliente_potencial"""
"customer,""custentityar_seg_cat_cliente_potecial"""
"customer,""dategrosslead"""
"customer,""datelead"""
"customer,""url"""
"customer,""contact"""
"customer,""custentity_ar_tipo_entidad"""
"customer,""custentity_bit_lt_ei_first_name"""
"customer,""custentity_bit_lt_ei_last_name"""
"customer,""firstname"""
"customer,""lastname"""
"customer,""custentity_ar_codigo_pais_cliente"""
"customer,""startdate"""
"customer,""altphone"""
"customer,""custentity_ks_regimentributari"""
"customer,""dateconversion"""
"customer,""entitynumber"""
"customer,""isexplicitconversion"""
"customer,""comments"""
"customer,""dateprospect"""
"customer,""custentity_bit_lt_ei_other_name"""
"customer,""custentity_bit_lt_ei_second_name"""
"customer,""middlename"""
"customer,""salutation"""
"customer,""category"""
"customer,""custentity_ar_seg_cat_cliente"""
"customer,""custentity_ar_lugar_incoterm"""
"customer,""fax"""
"customer,""custentity_arcat_cliente_interesado"""
"customer,""custentity_bit_lt_other_emails"""
"customer,""altemail"""
"customer,""custentity_ar_naviera_aci"""
"customer,""custentityar_tipo_de_comprador"""
"customer,""depositbalancesearch"""
"customersubsidiaryrelationship,""links"""
"customersubsidiaryrelationship,""balance"""
"customersubsidiaryrelationship,""depositbalance"""
"customersubsidiaryrelationship,""entity"""
"customersubsidiaryrelationship,""id"""
"customersubsidiaryrelationship,""isprimarysub"""
"customersubsidiaryrelationship,""lastmodifieddate"""
"customersubsidiaryrelationship,""name"""
"customersubsidiaryrelationship,""primarycurrency"""
"customersubsidiaryrelationship,""subsidiary"""
"customersubsidiaryrelationship,""unbilledorders"""
"custpymt,""links"""
"custpymt,""createddate"""
"custpymt,""currency"""
"custpymt,""entity"""
"custpymt,""id"""
"custpymt,""lastmodifieddate"""
"custpymt,""memo"""
"custpymt,""status"""
"custpymt,""trandate"""
"custpymt,""tranid"""
"custpymt,""abbrevtype"""
"custpymt,""autocalculatelag"""
"custpymt,""billingstatus"""
"custpymt,""closedate"""
