"abbrevtype","autocalculatelag","billingstatus","closedate","createdby","createddate","currency","daysopen","entity","exchangerate","foreignpaymentamountunused","foreignpaymentamountused","foreigntotal","id","isbookspecific","isfinchrg","isreversal","iswip","lastmodifiedby","lastmodifieddate","memo","nexus","number","ordpicked","outsourced","paymenthold","posting","postingperiod","printedpickingticket","recordtype","status","trandate","trandisplayname","tranid","transactionnumber","type","typebaseddocumentnumber","userevenuearrangement","visibletocustomer","void","voided"
"PMT","F","F","07/01/2025","133","09/01/2025","2","0","14405","1","0","19517770","19517770","640876","F","F","F","F","133","2025-01-09","null","1","32","F","F","F","T","241","F","customerpayment","C","07/01/2025","Recibo de Pago #RCCO00032","RCCO00032","CUSTPYMTCO32","CustPymt","RCCO00032","F","T","F","F"
"PMT","F","F","09/01/2025","14091","10/01/2025","2","0","14451","1","0","78735216","78735216","659278","F","F","F","F","14091","2025-01-10","FACTORING","1","62","F","F","F","T","241","F","customerpayment","C","09/01/2025","Recibo de Pago #RCCO00062","RCCO00062","CUSTPYMTCO62","CustPymt","RCCO00062","F","T","F","F"
"PMT","F","F","10/01/2025","14091","13/01/2025","2","0","14359","1","0","390553117","390553117","704386","F","F","F","F","14091","2025-01-13","FACTORING","1","84","F","F","F","T","241","F","customerpayment","C","10/01/2025","Recibo de Pago #RCCO00084","RCCO00084","CUSTPYMTCO84","CustPymt","RCCO00084","F","T","F","F"
"PMT","F","F","10/01/2025","14091","13/01/2025","1","0","14501","4343.48","0","228563.72","228563.72","707219","F","F","F","F","14091","2025-01-13","null","1","93","F","F","F","T","241","F","customerpayment","C","10/01/2025","Recibo de Pago #RCCO00093","RCCO00093","CUSTPYMTCO93","CustPymt","RCCO00093","F","T","F","F"
"PMT","F","F","17/01/2025","133","20/01/2025","2","0","14444","1","0","84860764","84860764","881911","F","F","F","F","133","2025-01-20","null","1","201","F","F","F","T","241","F","customerpayment","C","17/01/2025","Recibo de Pago #RCCO00201","RCCO00201","CUSTPYMTCO201","CustPymt","RCCO00201","F","T","F","F"
