"binnumber","committedqtyperlocation","committedqtyperseriallotnumber","committedqtyperseriallotnumberlocation","createddate","inventorynumber","inventorystatus","item","lastmodifieddate","location","quantityavailable","quantityonhand","quantitypicked"
"6500","0","0","0","05/09/2025","1667535","1","4741","2025-09-05","10","256","256","0"
"7906","386.4","0","0","25/09/2025","1768971","1","5067","2025-09-25","10","16.8","16.8","0"
"1686","0","0","0","12/05/2025","894499","1","5226","2025-05-12","13","4125","4125","0"
"6265","0","0","0","08/01/2025","33159","1","5344","2025-01-08","10","362","362","0"
"6723","0","0","0","09/09/2025","1684780","1","5396","2025-09-09","10","209","209","0"
