"autoleadtime","autopreferredstocklevel","autoreorderpoint","averagecost","billexchratevarianceacct","billpricevarianceacct","billqtyvarianceacct","copydescription","costcategory","createddate","createjob","custitem_prompt_payment_discount_item","deposit","enforceminqtyinternally","expenseaccount","froogleproductfeed","fullname","generateaccruals","id","includechildren","isdropshipitem","isfulfillable","isinactive","islotitem","isonline","isphantom","isserialitem","isspecialorderitem","itemid","itemtype","lastmodifieddate","lastpurchaseprice","manufacturingchargeitem","matchbilltoreceipt","nextagproductfeed","printitems","seasonaldemand","shipindividually","shoppingproductfeed","shopzillaproductfeed","subsidiary","subtype","usemarginalrates","yahooproductfeed","costestimatetype","custitem_cmms_contract_sale","custitem_cmms_contract_sale_from_so","custitem_cmms_create_equipt_on_fulfil","custitem_cmms_enabled","custitem_cmms_is_rental_part","custitem_cmms_set_phantom_mm","custitem_shep_rental_indicator","custitem_wms_usetallyscan","description","dontshowprice","excludefromsitemap","incomeaccount","isdonationitem","showdefaultdonationamount","stockdescription","upccode","custitem_bit_lt_refoundaccount","displayname","consumptionunit","cost","custitem_cmms_add_as_addit_item","custitem_cmms_rntl_tm_grouping","department","fxcost","location","purchasedescription","purchaseunit","unitstype","custitem_cmms_is_lost_rental_charge","custitem_cmms_allow_rental_access_dnr","custitem_cmms_assign_comp_addit_eq_cso","custitem_cmms_assign_rent_end_on_creat","custitem_cmms_assign_rent_end_on_start","custitem_cmms_assign_rent_start_comp","custitem_cmms_assign_rent_strt_oncreat","custitem_cmms_auto_assign_cso_to_if","custitem_cmms_con_trip_new_trip_nxt_dy","custitem_cmms_enable_manual_ptm","custitem_cmms_inherit_sz_from_rc","custitem_cmms_non_billable_service","custitem_cmms_optional_equip_assign","custitem_cmms_remove_travel_option","custitem_cmms_requires_contract","custitem_cmms_roll_travel_into_labor","custitem_cmms_service_signature_reqd","custitem_cmms_stop_manuf_warranty_swap","custitem_cmms_tech_signature_reqd","custitem_ar_posicion_arancelaria","saleunit","weightunits","custitem_4601_defaultwitaxcode","custitem_ar_comprado","custitem_bit_co_tipo_actividadimpuesto","custitem_bit_lt_ei_item_code","class","assetaccount","atpmethod","buildentireassembly","costingmethod","costingmethoddisplay","cseg_ar_tipo_desarr","custitem_ar_ancho","custitem_ar_aplica_trim","custitem_ar_calibre_micras","custitem_ar_categoria_ventas","custitem_ar_descripcion_comex","custitem_ar_disponible_portal_web","custitem_ar_estado_ingenieria","custitem_ar_gramos","custitem_ar_id_anterior","custitem_ar_largo_rollos","custitem_ar_peso_bruto_articulo","custitem_ar_tipo","custitem_ar_und_cial_dian","custitem_bit_ar_articulo_de_trim","custitem_bit_ar_categoria_articulos","custitem_bit_ar_clase_articulo","custitem_bit_ar_factorconversion","custitem_bit_ar_grupo_articulos","custitem_bit_ar_tipo_articulos","custitem_bit_lt_ei_pe_selling_code","custitem_bit_no_validar_lotes","custitem_bit_pe_codpropexistencia","custitem_bit_pe_t14","custitem_bit_pe_t5","custitem_cmms_create_equipt_on_invadj","custitem_iqity_use_fifo","custitem_wmsse_mix_item","custitem_wmsse_mix_lot","custitem_wmsse_shelflife","isspecialworkorderitem","planningitemcategory","rotationtype","roundupascomponent","scrapacct","stockunit","supplyreplenishmentmethod","totalquantityonhand","totalvalue","tracklandedcost","usebins","weight","weightunit","wipacct","wipvarianceacct","custitem_cmms_labor_pricing_model","custitem_cmms_part_cost_acc","custitem_cmms_service_order_type","custitem_cmms_service_time_type","custitem_cmms_service_type","custitem_cmms_required_usage_unit","custitem_ks_refund_stk_account","custitem_ar_cod_insumo_pv","custitem_ar_critico","custitem_ar_rdl","custitem_bit_average_cost","custitem_bit_rop","custitem_cmms_auto_gen_po","custitem_cmms_create_return_author","custitem_cmms_item_type","custitem_hs_certification_required","vendorname","custreturnvarianceaccount","custitem_ar_codigo_proveedor","mpn","countryofmanufacture","custitem_bit_item_gto_importacion","externalid","manufacturer","custitem_ar_porcentaje_solidos","lastinventorycostingcorrectiondate","custitem_wmsse_replen_maxqty","custitem_wmsse_replen_minqty","preferredlocation","purchaseorderquantitydiff","receiptquantitydiff","custitem_ar_responsable_articulo_ensam","custitem_ar_predeterminado_proveedor","custitem_ar_dimension_hojas","custitem_cmms_equipment_category","custitem_cmms_equipment_type","itemprocessfamily"
"T","T","T","0","1459","6003","6003","F","19","29/05/2024","F","F","F","F","6003","F","CIF00.016","F","27842","F","F","T","F","F","F","F","F","F","CIF00.016","OthCharge","2025-07-01","0","T","F","F","F","F","F","F","F","3","Purchase","F","F","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","CIF PRIMADO RIONEGRO","41","371496","F","F","62","371496","10","CIF PRIMADO RIONEGRO","41","5","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"T","T","T","0","1459","3649","3649","F","1","13/12/2024","F","null","F","F","3649","F","COSCM011","F","34032","T","F","F","F","F","F","F","F","F","COSCM011","Service","2025-02-14","0","F","F","F","F","F","F","F","F","3","Purchase","F","F","null","F","F","F","null","null","F","F","T","null","null","null","null","null","null","null","null","null","CMMS_ SERVICIO REPARACIONES MECANICAS","null","null","null","null","null","null","null","null","null","null","null","F","F","F","F","F","F","F","null","F","F","F","null","F","F","null","F","F","F","null","null","null","10","176","63","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"T","T","T","0","1459","3011","3011","F","1","13/12/2024","F","null","F","F","3562","F","COSER026","F","33945","T","F","F","F","F","F","F","F","F","COSER026","Service","2025-05-19","0","F","F","F","F","F","F","F","F","3","Purchase","F","F","null","F","F","F","null","null","F","F","T","null","null","null","null","null","null","null","null","null","HONORARIOS ASESORIA TECNICA","null","null","F","F","null","null","null","null","null","null","null","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","null","null","null","10","176","81","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"T","T","T","0","1459","3642","3642","F","1","13/12/2024","F","null","F","F","3642","F","COSER043","F","33962","T","F","F","F","F","F","F","F","F","COSER043","Service","2025-02-14","0","F","F","F","F","F","F","F","F","3","Purchase","F","F","null","F","F","F","null","null","F","F","T","null","null","null","null","null","null","null","null","null","TRÁMITES Y LICENCIAS","null","null","null","null","null","null","null","null","null","null","null","F","F","F","F","F","F","F","null","F","F","F","null","F","F","null","F","F","F","null","null","null","10","176","63","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"T","T","T","0","1459","1520","1520","F","1","02/03/2022","F","null","F","T","3649","F","Mantenimiento Preventivo Trimestral","F","75","T","F","F","F","F","F","F","F","F","Mantenimiento Preventivo Trimestral","Service","2025-07-24","0","F","F","F","F","F","F","F","F","3","Resale","F","F","LASTPURCHPRICE","F","F","F","null","null","F","F","F","Mantenimiento Preventivo Trimestral","F","F","954","F","F","null","null","null","null","1","null","F","F","null","null","null","Mantenimiento Preventivo Trimestral","1","1","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","T","F","T","null","1","por ud","10","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","2","3649","7","2","5","1","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
