"availableforallassemblies","availableforalllocations","availableforlocations","availableforsubisidiaries","bomrevision","createddate","custrecord_aradh1","custrecord_aradh1b","custrecord_aranchopadre","custrecord_arcaradeimpresion","custrecord_arimpresion","custrecord_arprovci","custrecord_arprovresp","custrecord_arrespaldo","custrecord_arsil1","custrecord_nombre_codigoparamostrar","id","includechildren","isinactive","lastmodifieddate","memo","name","subsidiary","usecomponentyield","usedonassembly","externalid","custrecord_ar_cod_anterior_bom","custrecord_ar_comp1","custrecord_ar_comp2","custrecord_ar_comp3","custrecord_ar_comp4","custrecord_arnota","custrecord_bom_nota","custrecord_ar_comp5","custrecord_ar_comp6","custrecord_ar_comp7","custrecord_arrecubrimiento","custrecord_arsil2","custrecord_aradh2","custrecord_aradh2b","custrecord_arcomponenteinterno"
"T","T","9, 10, 11, 12","3","1369","16/05/2024","null","null","12","106","null","38","null","null","null","PB90C.HZL-1520","3766","T","F","2025-07-01","PB90C_1520","11C00.009.1520","3","T","T","11B120720","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"T","T","9, 10, 11, 12","3","5350","20/12/2024","null","null","null","null","null","null","null","null","null","V.01-VIN_140X250","5632","T","F","2025-02-03","EMPAQUE VINILOS 1.40X250M","19V00.012-01","3","T","T","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"T","T","9, 10, 11, 12","3","6364","14/04/2025","null","null","null","null","null","null","null","null","230","V.06-._710B-_SL8550_SL6020_ANSIL2021______","6554","T","F","2025-07-01","SILICONA BAJO RELEASE EN LINEA 710B","21102.001-06","3","T","T","null","null","109","110","111","null","null","null","null","null","null","null","null","null","null","null"
"T","T","9, 10, 11, 12","3","5362","20/12/2024","null","null","null","null","null","null","null","null","null","V.01-HOJ_56X43","5645","T","F","2025-02-03","EMPAQUE HOJAS 56X43","19H00.001-01","3","T","T","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"T","T","9, 10, 11, 12","3","6282","03/04/2025","null","null","null","null","null","null","null","null","null","V.01-ROL_3000M","6473","T","F","2025-04-03","EMPAQUE ROLLOS 3000M M","19R00.008-02","3","T","T","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
